Provincia,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,Latitud,Longitud
BUENOS AIRES,Capitán Castro,49,NO,NO,NO,NO,NO,SI,NO,NO,NO,-35.913692884071,-62.2240579143551
BUENOS AIRES,Chiclana,0,NO,NO,NO,NO,NO,SI,NO,SI,SI,-35.7327373193414,-61.7439272931387
BUENOS AIRES,Francisco Madero,1389,NO,NO,SI,NO,NO,SI,SI,SI,SI,-35.8483065194137,-62.0693918423117
BUENOS AIRES,Inocencio Sosa,31,NO,NO,NO,NO,NO,SI,NO,NO,NO,-35.7184196474894,-62.1142777365421
BUENOS AIRES,Pedro Luro,9494,SI,SI,NO,SI,NO,SI,SI,SI,SI,-39.5007767274615,-62.6874317159849
BUENOS AIRES,Teniente Origone,145,NO,NO,NO,NO,NO,SI,SI,NO,SI,-39.0580586668564,-62.5697137402023
BUENOS AIRES,Barrio Saavedra,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,-34.1263843372848,-59.020156759664
BUENOS AIRES,Country Club El Casco,452,NO,NO,NO,NO,NO,NO,NO,SI,SI,-34.1275885141615,-59.0834596008166
BUENOS AIRES,Escalada,213,NO,NO,NO,NO,NO,NO,NO,NO,NO,-34.160933188334,-59.1125399836881
BUENOS AIRES,Lima,10219,SI,SI,NO,SI,NO,NO,SI,SI,SI,-34.0436335939636,-59.1973339595539
BUENOS AIRES,Zárate,98522,SI,SI,NO,SI,SI,NO,SI,SI,SI,-34.0998630672257,-59.024557255152
CORDOBA,Alta Gracia,48140,SI,SI,NO,SI,NO,SI,SI,SI,SI,-31.6576798267691,-64.4288214061936
CORDOBA,Anisacate,2991,SI,NO,NO,SI,NO,SI,SI,NO,NO,-31.7231378713901,-64.4144863418681
CORDOBA,Barrio Gilbert,1277,NO,NO,NO,NO,NO,NO,NO,NO,NO,-31.4426508165936,-64.3178623084579
CORDOBA,Barrio Las Quintas,0,NO,NO,NO,NO,NO,NO,NO,SI,NO,-31.5502925188794,-64.4334256167366
CORDOBA,Barrio Villa del Parque,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,-31.7772193262534,-64.532077974826
CORDOBA,Bouwer,841,NO,NO,NO,NO,NO,NO,SI,SI,SI,-31.557666956067,-64.194465844878
CORDOBA,Campos del Virrey,188,NO,NO,NO,NO,NO,NO,NO,NO,NO,-31.5854354142154,-64.3439770074277
CORDOBA,Caseros Centro,243,NO,NO,NO,NO,NO,NO,NO,NO,SI,-31.5292561486201,-64.1688666057858
CABA,MONSERRAT,39914,SI,SI,SI,SI,SI,SI,SI,SI,SI,-34.6126880821742,-58.379652044818
FORMOSA,Las Lomitas,12399,SI,NO,NO,SI,SI,SI,SI,SI,SI,-24.7105776136691,-60.5937892586839
FORMOSA,Posta Cambio Zalazar,603,NO,NO,NO,NO,NO,SI,NO,NO,SI,-24.2115848629554,-60.198666969414
FORMOSA,Pozo del Tigre,4517,SI,NO,NO,NO,NO,SI,SI,SI,SI,-24.8975997693171,-60.3187890218463
FORMOSA,San Martín I,66,NO,NO,NO,NO,NO,NO,NO,NO,NO,-24.5319053014019,-59.902051229705
FORMOSA,San Martín II,3119,NO,NO,NO,SI,NO,SI,SI,NO,SI,-24.4331529800639,-59.656351890373
FORMOSA,Subteniente Perín,1163,NO,NO,NO,NO,SI,SI,NO,NO,SI,-25.5350397293764,-60.0190827630116
FORMOSA,Villa General Güemes,3907,NO,NO,NO,SI,NO,SI,SI,NO,SI,-24.7529456908497,-59.4916405606824
CABA,FLORESTA,37575,SI,SI,SI,SI,SI,SI,SI,SI,SI,-34.6276862905939,-58.4835872783595
CORDOBA,Causana,55,NO,NO,NO,NO,NO,NO,NO,NO,NO,-31.4637911559576,-64.4124514041777
CORDOBA,Costa Azul,201,NO,NO,NO,NO,NO,NO,NO,SI,SI,-31.7247289371172,-64.3939272186065
CORDOBA,Despeñaderos,5758,SI,NO,NO,SI,NO,SI,SI,SI,SI,-31.8170515932731,-64.2889894059973
CORDOBA,Dique Chico,167,NO,NO,NO,NO,NO,NO,NO,NO,NO,-31.751852051978,-64.3627643049016
CORDOBA,El Potrerillo,85,NO,NO,NO,NO,NO,NO,NO,SI,SI,-31.6456181955204,-64.481617153406
CORDOBA,Falda del Cañete,29,NO,NO,NO,NO,NO,NO,NO,SI,SI,-31.5345237877237,-64.4559553621678
CORDOBA,Falda del Carmen,170,NO,NO,NO,NO,NO,NO,SI,NO,SI,-31.5854632680747,-64.4548814536225
CORDOBA,José de la Quintana,419,NO,NO,NO,NO,NO,NO,NO,NO,SI,-31.8034930461757,-64.418856525597
CORDOBA,La Boca del Río,80,NO,NO,NO,NO,NO,NO,SI,NO,NO,-31.8374172963205,-64.4336411746815
CORDOBA,La Carbonada,207,NO,NO,NO,NO,NO,NO,NO,NO,SI,-31.5285694623422,-64.0712556356294
CABA,PATERNAL,19717,SI,SI,SI,SI,SI,SI,SI,SI,SI,-34.5974220425569,-58.4686652940674
CORDOBA,La Cumbrecita,0,NO,NO,NO,NO,NO,SI,SI,NO,NO,-31.898333,-64.773333
CORDOBA,La Donosa,0,NO,NO,NO,NO,NO,SI,NO,NO,NO,-31.6430306930417,-64.3453826897825
CORDOBA,La Paisanita,60,SI,NO,NO,NO,NO,SI,SI,NO,SI,-31.7194206060414,-64.4779150030479
CORDOBA,La Perla,895,NO,NO,NO,NO,NO,NO,NO,SI,SI,-31.4425579240341,-64.3484859265831
CORDOBA,La Rancherita,129,NO,NO,NO,NO,NO,SI,NO,NO,NO,-31.7574675409558,-64.448690277725
CORDOBA,La Serranita,430,NO,NO,NO,NO,NO,SI,SI,SI,SI,-31.7331340814564,-64.4564154524522
CORDOBA,Los Cedros - Las Quintas,1069,NO,NO,NO,NO,NO,NO,SI,SI,SI,-31.5262509877113,-64.2847584167114
CORDOBA,Lozada,1013,NO,NO,NO,NO,NO,SI,SI,SI,SI,-31.6484545317081,-64.0899796115028
BUENOS AIRES,Rivera,3217,NO,NO,SI,SI,NO,NO,SI,NO,SI,-37.1583546113813,-63.2442194943605
BUENOS AIRES,Thames,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,-36.9291655620507,-63.2957265324881
BUENOS AIRES,Villa Margarita,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,-37.4600992847959,-63.2405658599852
BUENOS AIRES,Yutuyaco,16,NO,NO,NO,NO,NO,NO,NO,NO,NO,-36.9884309445004,-63.133808887439
BUENOS AIRES,Adolfo Gonzales Chaves (Est. Chaves),9066,SI,NO,SI,SI,NO,SI,SI,SI,SI,-38.0333995087596,-60.1003341740637
BUENOS AIRES,De la Garma,1625,SI,NO,NO,SI,NO,SI,SI,SI,SI,-37.9635021758562,-60.415659383962
BUENOS AIRES,Juan E. Barra,212,NO,NO,NO,NO,NO,SI,SI,NO,NO,-37.8233871716044,-60.484639770555
BUENOS AIRES,Vásquez,43,NO,NO,NO,NO,NO,SI,SI,SI,SI,-38.1766861391835,-60.1708487303777
